Country,1990,2021,Absolute Change,Relative Change,1990.1,2021.0.1,Absolute Change.1,Relative Change.1,1990.2,2021.0.2,Absolute Change.2,Relative Change.2,Smoking_1990,Smoking_2021,Change,Percent_Change,Disease1,Disease2,Disease3,Disease4,Disease5,Disease6,Disease7,Disease8,Disease9,Disease10,Disease11,Disease12,Disease13,Disease14,Disease15,Disease16,Disease17,Disease18,Disease19,Disease20,Disease21,Disease22,Disease23,Disease24,Disease25,Disease26,Disease27,Disease28,Metric1,Metric2,Population
United Kingdom,17.3,5.8,-11.5,-0.66,1365.8,576.4,-789.4,-0.58,420.9,114.8,-306.1,-0.73,150.7,53.2,-97.4,-0.65,68440,5557,15546,19874,9922,29,3339,92,1581,8769,2,6920,73533,38509,17100,39876,8,6633,5480,0,3,13,5,16551,11417,474,30570,1182,0.173,0.135,67351860
Iceland,11.8,6.2,-5.6,-0.48,967.9,413.5,-554.4,-0.57,265.5,96.2,-169.2,-0.64,102.6,40.4,-62.2,-0.61,344,33,71,59,38,0,19,3,6,25,0,32,244,170,23,164,0,30,29,0,0,0,0,19,25,1,157,2,0.119,0.12,366626
Norway,13.9,3.6,-10.3,-0.74,828.3,354.1,-474.2,-0.57,275.3,74.2,-201.1,-0.73,94.8,33.2,-61.7,-0.65,5157,336,1193,1006,389,9,273,195,160,313,0,433,3508,3086,530,2160,4,429,779,0,0,0,0,458,494,30,2064,32,0.17,0.154,5379274
Chile,13.4,6.8,-6.6,-0.49,320.9,137.8,-183.1,-0.57,181.3,66.9,-114.4,-0.63,56,21.8,-34.2,-0.61,18440,2538,2745,5560,2185,58,1826,401,1322,957,258,1507,5524,10564,7029,11211,37,1317,889,0,3,5,8,6655,721,46,4806,402,0.316,0.268,19370619
Canada,13.7,5,-8.7,-0.64,988.9,436.3,-552.6,-0.56,316.2,106.1,-210.1,-0.66,113.6,42.7,-70.8,-0.62,35162,3646,6482,10374,3857,64,2581,440,917,406,1,3095,32295,24195,3976,22123,66,4762,4307,0,2,10,7,3261,1847,41,14634,564,0.153,0.107,38171901
Spain,17.1,7.1,-10,-0.58,817.1,367.9,-449.2,-0.55,259,120.5,-138.5,-0.53,96.9,41.3,-55.6,-0.57,55738,2316,9619,13082,4211,56,5292,319,1459,1703,21,4981,41161,40586,12982,36460,35,4030,2731,0,1,5,2,9911,5304,244,17806,330,0.286,0.267,47679482
Benin,5.9,2.3,-3.6,-0.61,247.2,111.3,-135.8,-0.55,118.3,51.4,-66.9,-0.57,37.9,17,-20.9,-0.55,7352,647,503,1339,1487,3196,409,2314,2383,50,10622,870,877,3379,12842,2530,2739,134,342,86,3004,408,224,2179,142,2850,1453,11050,0.118,0.019,13070170
Bahrain,11.8,7.8,-4,-0.34,1414.4,639.5,-774.9,-0.55,321.4,101.6,-219.8,-0.68,158.6,69.4,-89.3,-0.56,823,29,312,32,52,3,139,4,17,31,0,36,469,1139,763,951,1,28,22,0,1,1,1,747,134,3,413,28,0.253,0.045,1483081
Colombia,7.9,3.1,-4.8,-0.61,381.2,172.6,-208.6,-0.55,151.5,48.7,-102.8,-0.68,53.2,19.4,-33.9,-0.64,45162,10126,5876,4966,3374,525,2711,1541,5039,3570,1523,4522,10772,22860,14605,21017,191,789,1528,1,99,69,65,12763,2633,340,15997,2226,0.124,0.046,50629997
France,14.3,6.8,-7.5,-0.53,647.5,296.8,-350.7,-0.54,231.9,126.4,-105.4,-0.45,79,38.1,-40.9,-0.52,73256,5633,16143,26946,9951,61,3470,5041,2226,3194,5,7548,52332,38438,14554,39013,23,5925,9903,0,4,14,4,13394,7863,310,25709,897,0.349,0.319,65905273
Denmark,21,5.3,-15.7,-0.75,1680.4,779.2,-901.2,-0.54,478.4,152.8,-325.6,-0.68,180.3,71,-109.3,-0.61,6934,537,1384,2396,477,12,465,58,195,301,0,477,9076,3891,1743,3220,5,408,535,0,0,1,0,1532,677,37,2507,85,0.178,0.171,5831530
New Zealand,12.7,4.8,-7.9,-0.62,846.8,392.9,-454,-0.54,294.6,90.8,-203.8,-0.69,101.2,39,-62.2,-0.61,5029,364,981,1094,405,13,240,14,72,175,1,378,3400,3146,651,2869,5,246,421,0,1,1,0,613,578,8,2228,98,0.15,0.123,5069893
Germany,19.9,6.4,-13.5,-0.68,886.7,414.9,-471.9,-0.53,280.1,147,-133,-0.48,104.4,48.6,-55.8,-0.53,185236,14091,22084,47456,19986,88,6671,604,2773,4816,4,18069,94196,100635,31602,84764,35,5980,12109,0,3,10,6,29057,10382,320,60888,913,0.241,0.199,83628711
Thailand,13.5,15.9,2.4,0.18,1024.1,479.2,-544.9,-0.53,258.8,116.7,-142,-0.55,116,52.7,-63.3,-0.55,73041,17430,6855,25335,6555,4701,10483,1657,15517,26,3590,9674,56851,62296,58564,32153,612,7836,4468,1,148,128,57,53356,5850,2526,26514,996,0.413,0.029,71641484
Luxembourg,17.8,4.4,-13.4,-0.75,852.8,403.2,-449.5,-0.53,299.4,108.2,-191.1,-0.64,105.3,42.1,-63.2,-0.6,649,50,98,196,62,1,39,10,11,51,0,57,454,399,102,316,0,44,56,0,0,0,0,87,49,2,227,5,0.224,0.198,630597
Panama,4.7,2.7,-2,-0.43,395.5,187.1,-208.4,-0.53,97.4,41.8,-55.5,-0.57,43,18.9,-24.1,-0.56,3506,561,303,621,472,72,161,144,693,130,37,495,844,2843,820,2620,45,108,94,0,29,19,10,758,194,28,1044,266,0.077,0.022,4293258
Costa Rica,5.5,4.2,-1.3,-0.23,495.8,235.2,-260.6,-0.53,124.2,57.8,-66.4,-0.53,53.6,24.8,-28.8,-0.54,3930,655,682,922,314,30,237,30,378,233,66,569,1371,2976,1028,2566,7,191,259,0,3,4,3,930,207,23,1272,159,0.129,0.046,5034323
Myanmar,36.1,13,-23.1,-0.64,2163.8,1029.1,-1134.7,-0.52,689.4,220.6,-468.9,-0.68,277.4,108.8,-168.5,-0.61,92227,20253,6283,18871,19272,3802,11615,3060,4421,38,69213,8612,47058,51736,101582,19822,2904,4486,2642,41,1686,1005,316,31202,1636,1841,24695,11577,0.685,0.197,53016525
Czechia,35.6,10.7,-24.9,-0.7,1069.6,514,-555.6,-0.52,526.5,202.7,-323.8,-0.61,155.3,63.6,-91.7,-0.59,25977,7421,3323,5106,2968,100,2460,210,403,2020,18,2010,13823,16432,7570,12595,11,442,1044,0,5,15,0,7212,2175,52,11501,88,0.35,0.264,10550130
Maldives,20.6,7.4,-13.2,-0.64,1418.6,685.9,-732.7,-0.52,346.4,73.3,-273.2,-0.79,176.7,56,-120.7,-0.68,313,63,49,13,48,9,45,7,9,8,8,27,166,160,88,80,1,17,6,0,2,1,1,69,33,1,112,29,0.444,0.06,502127
Estonia,33.7,9.1,-24.6,-0.73,630,305.4,-324.6,-0.52,404.6,172,-232.6,-0.57,116.8,46.8,-70,-0.6,5137,205,487,859,1066,0,164,5,89,278,13,791,1203,1275,232,2484,0,182,69,0,0,0,0,214,185,2,1264,5,0.363,0.23,1329674
Finland,18.9,4.7,-14.2,-0.75,534.9,259.6,-275.3,-0.51,255.9,93,-162.9,-0.64,78.2,30.5,-47.8,-0.61,12214,933,1753,2296,1502,3,269,17,93,977,0,1162,3854,5566,464,4790,2,505,776,0,0,0,0,436,672,12,4491,29,0.269,0.163,5529617
South Africa,34.8,15.3,-19.5,-0.56,638,310.2,-327.9,-0.51,241.2,168.3,-72.9,-0.3,101.3,54,-47.4,-0.47,66134,2877,3912,21000,17645,9140,7691,5221,96827,4120,6372,11054,25562,51488,34080,52667,6602,3861,2118,125,2262,1687,245,27105,7716,7564,13729,12983,0.34,0.065,60562374
Guatemala,7.9,3.6,-4.3,-0.55,379,184.6,-194.4,-0.51,95.5,45.5,-50,-0.52,47.6,21.3,-26.3,-0.55,8586,1553,1318,4171,1578,1574,885,1460,1434,394,5318,1180,2223,11399,8794,8329,971,987,417,14,959,203,95,3443,426,703,2870,1728,0.201,0.016,17357331
Italy,13.5,5.3,-8.1,-0.6,775.1,377.9,-397.2,-0.51,269.1,91.3,-177.9,-0.66,93.2,37,-56.2,-0.6,110155,13669,24632,22419,12496,98,6198,537,2064,4929,28,14001,56648,65721,33210,60219,56,3904,7613,0,2,8,2,29386,10768,234,35438,371,0.266,0.195,59912763
Switzerland,13.1,3.4,-9.7,-0.74,815.9,400.7,-415.2,-0.51,231.6,81.5,-150.1,-0.65,88.6,35.8,-52.9,-0.6,10124,946,1962,2371,1544,6,427,108,183,257,0,1601,7042,6544,1837,4809,2,577,1208,0,0,1,0,1580,747,24,3813,98,0.281,0.229,8640582
Japan,11.7,6.1,-5.6,-0.48,716.8,353.7,-363.1,-0.51,171.2,83,-88.1,-0.51,76.1,33.6,-42.6,-0.56,179952,37277,25626,36591,26731,456,13051,1635,4206,11679,30,8577,132467,127178,52082,46108,157,8074,9776,0,14,10,8,49306,15368,688,55747,330,0.301,0.1,126304536
South Korea,18.2,5.6,-12.7,-0.7,1055.3,521.4,-533.9,-0.51,276,68.2,-207.8,-0.75,129.7,43.9,-85.9,-0.66,35409,12987,4342,16325,6203,139,4558,191,1197,1508,4,3404,40927,32342,27021,14469,45,1682,3298,0,1,5,4,25478,3835,123,12548,202,0.357,0.059,51858480
Jordan,12.5,8.6,-3.9,-0.31,843.9,421,-422.9,-0.5,257.2,109.6,-147.6,-0.57,108.8,52.7,-56.1,-0.52,7360,260,2009,73,1299,30,927,40,82,238,2,868,3572,5804,3625,6141,13,74,153,0,31,29,11,3565,642,34,3087,904,0.568,0.128,10865231
Netherlands,15.8,4.6,-11.3,-0.71,1178.9,595.6,-583.3,-0.49,332.1,120.9,-211.2,-0.64,127.7,55.2,-72.6,-0.57,19131,1365,3602,5275,1665,14,1035,134,380,522,1,1865,20612,11323,5658,9393,6,481,3238,0,1,3,1,5144,1392,84,7120,236,0.244,0.199,17636732
Poland,42.1,12.1,-30,-0.71,958.1,496.6,-461.4,-0.48,544.7,264.7,-279.9,-0.51,161.7,71.3,-90.5,-0.56,82901,20329,16622,22859,11998,291,6519,242,2052,9533,1078,3511,51198,48494,33965,39608,79,2539,2882,0,15,19,1,32315,6918,228,35236,469,0.279,0.201,38171005
Croatia,29.8,12,-17.9,-0.6,1460.7,762,-698.7,-0.48,398.8,225.8,-173.1,-0.43,162.6,82.1,-80.4,-0.49,13826,3741,2146,2328,933,18,1590,6,164,909,72,852,7538,6981,3987,5703,3,225,620,0,2,3,0,3724,970,13,5142,45,0.376,0.361,3953957
Andorra,11.5,7.4,-4.1,-0.35,793.7,415.4,-378.3,-0.48,239.5,99.7,-139.8,-0.58,91.5,42,-49.5,-0.54,84,5,16,24,7,0,5,0,1,2,0,7,67,52,16,43,0,4,7,0,0,0,0,13,7,0,31,0,0.353,0.283,77398
Bulgaria,52.4,37.5,-14.8,-0.28,781.3,410,-371.3,-0.48,489.4,355.9,-133.5,-0.27,149.1,91.3,-57.9,-0.39,50208,15002,5722,7456,7435,34,2754,29,536,2210,797,2170,11889,15105,10939,18728,4,536,322,0,7,11,1,10031,1612,28,15168,118,0.409,0.371,6933654
Mauritius,20.3,15.7,-4.6,-0.23,777.3,410.4,-366.8,-0.47,334.6,147.7,-187,-0.56,113,55,-58,-0.51,2587,573,419,274,730,12,349,27,129,57,5,360,991,3311,419,1936,6,116,43,0,3,2,1,414,225,4,757,71,0.373,0.03,1283230
Sierra Leone,11.6,6.5,-5.1,-0.44,308.6,163,-145.6,-0.47,164.4,100.4,-64.1,-0.39,53.3,31,-22.3,-0.42,7228,459,552,1258,1258,2545,750,4500,2030,23,8679,892,1243,2630,9925,1802,2116,80,256,63,1640,287,245,1229,227,2062,1606,7866,0.205,0.064,7912558
Turkey,25.6,12.3,-13.3,-0.52,1188.8,630.6,-558.3,-0.47,451.3,207,-244.3,-0.54,160.8,76.8,-84,-0.52,120132,3028,31097,3527,4045,401,18842,913,1177,1327,277,395,70738,73099,60371,72672,127,970,3426,2,83,96,52,57000,10243,645,43123,3630,0.421,0.192,86091691
Sweden,10.6,2.5,-8.1,-0.76,767.8,409.7,-358.1,-0.47,210.7,77.4,-133.3,-0.63,80,35.9,-44.2,-0.55,15429,1236,2855,2649,1524,25,514,127,285,626,0,1458,8529,7949,1018,6409,11,592,1187,0,0,1,1,911,938,45,5552,67,0.298,0.182,10353680
Oman,9.4,4.5,-4.9,-0.52,446.9,239.1,-207.8,-0.47,172.4,61,-111.4,-0.65,62.3,28.8,-33.4,-0.54,2796,100,542,46,168,14,228,23,68,316,0,260,555,1735,1609,1903,2,46,119,0,12,6,3,1593,221,12,1271,214,0.155,0.004,4522503
Hungary,54.7,16.3,-38.4,-0.7,866.5,464.9,-401.6,-0.46,524.3,331.4,-192.8,-0.37,154.8,82.4,-72.4,-0.47,37776,9933,5825,7168,3907,74,2228,52,515,3580,410,1820,15320,14471,8951,15125,23,296,926,0,6,14,1,8149,1943,22,14010,112,0.358,0.278,9749460
Nigeria,3.8,1.8,-2,-0.52,128.4,70.2,-58.2,-0.45,57.3,28.3,-29.1,-0.51,20.7,10.6,-10.1,-0.49,118500,6593,13396,30275,18233,98102,6336,82471,65375,254,130996,12289,9684,56676,206715,46948,77843,10429,5565,2151,87319,20468,4511,74957,5427,67451,30381,210017,0.069,0.005,213996186
