Afghanistan,25371,1052,7478,296,7168,3125,3144,4372,717,2764,25968,8312,6286,13837,30644,12218,2449,588,810,687,3931,1077,609,4502,1873,2517,11108,14025
Bolivia,7707.0,1439.0,1321.0,2558.0,1574.0,280.0,614.0,875.0,1492.0,65.0,2126.0,1819.0,2521.0,8497.0,6090.0,6245.0,210.0,231.0,436.0,4.0,239.0,88.0,76.0,3875.0,603.0,362.0,2540.0,1443.0
Bosnia and Herzegovina,10948.0,2976.0,1222.0,1434.0,746.0,9.0,1160.0,4.0,149.0,877.0,1511.0,352.0,5829.0,6213.0,5821.0,4043.0,5.0,126.0,75.0,0.0,1.0,2.0,0.0,4240.0,645.0,7.0,4430.0,64.0
Botswana,1889.0,95.0,169.0,440.0,573.0,475.0,227.0,306.0,5196.0,136.0,187.0,382.0,985.0,1227.0,1008.0,1165.0,440.0,158.0,43.0,8.0,155.0,65.0,7.0,799.0,171.0,299.0,332.0,666.0
Brazil,205500.0,29612.0,25592.0,53063.0,19638.0,2790.0,20638.0,6056.0,22192.0,996.0,10591.0,29604.0,117324.0,151672.0,67681.0,131576.0,1758.0,12357.0,12635.0,18.0,498.0,373.0,351.0,52993.0,21890.0,4183.0,79604.0,14300.0
Brunei,261.0,62.0,48.0,15.0,68.0,0.0,27.0,1.0,19.0,6.0,0.0,35.0,186.0,283.0,41.0,162.0,0.0,13.0,9.0,0.0,1.0,0.0,0.0,40.0,27.0,1.0,114.0,20.0
Bulgaria,50208.0,15002.0,5722.0,7456.0,7435.0,34.0,2754.0,29.0,536.0,2210.0,797.0,2170.0,11889.0,15105.0,10939.0,18728.0,4.0,536.0,322.0,0.0,7.0,11.0,1.0,10031.0,1612.0,28.0,15168.0,118.0
Burkina Faso,12938.0,1100.0,1355.0,4458.0,4618.0,8884.0,1647.0,9725.0,3207.0,134.0,19187.0,3514.0,1774.0,5858.0,22954.0,2736.0,7572.0,169.0,900.0,501.0,7022.0,1828.0,360.0,3723.0,343.0,7367.0,1732.0,17230.0
Burundi,6658.0,949.0,964.0,3100.0,714.0,3829.0,371.0,2566.0,2290.0,609.0,10405.0,1696.0,1624.0,3352.0,11210.0,1382.0,3241.0,160.0,379.0,55.0,2841.0,205.0,255.0,765.0,155.0,2790.0,1205.0,6999.0
Cambodia,17092.0,4726.0,942.0,6718.0,5537.0,793.0,3249.0,1056.0,1548.0,290.0,18357.0,4446.0,14428.0,8157.0,21896.0,3293.0,580.0,1064.0,1008.0,7.0,643.0,210.0,95.0,3459.0,320.0,976.0,4987.0,3535.0
Cameroon,21489.0,1483.0,1549.0,6688.0,2502.0,5483.0,1289.0,3852.0,18251.0,9.0,19336.0,2299.0,3267.0,11144.0,25342.0,11601.0,4576.0,377.0,981.0,190.0,4620.0,1146.0,537.0,5898.0,813.0,5325.0,2777.0,15668.0
